transaction_id,sender_account,receiver_account,transaction_date,amount,transaction_type
t1,A489,D142,2024-04-24,1520.0,transfer
,,,,,
,,,,,
t4,A289,D398,2024-11-15,3480.0,deposit
,,,,,
,,,,,
,,,,,
,,,,,
t9,A180,D162,2024-02-28,3591.0,withdrawal
,,,,,
t11,A261,D710,2024-01-27,576.0,withdrawal
,,,,,
t13,A742,D602,2024-08-12,2806.0,deposit
,,,,,
t15,A539,D101,2024-08-07,1892.0,deposit
t16,A675,D421,2024-12-21,1929.0,transfer
,,,,,
t18,A372,D281,2024-11-10,3276.0,deposit
,,,,,
t20,A343,D718,2024-02-07,4165.0,withdrawal
t21,A155,D971,2024-12-22,3579.0,deposit
,,,,,
,,,,,
t24,A474,D532,2024-04-28,4276.0,transfer
,,,,,
,,,,,
,,,,,
t28,A455,D166,2024-09-20,198.0,transfer
t29,A618,D824,2024-10-17,1355.0,deposit
t30,A537,D607,2024-07-16,935.0,deposit
t31,A547,D923,2024-07-10,4390.0,withdrawal
t32,A196,D928,2024-11-12,4288.0,withdrawal
t33,A272,D264,2024-08-06,4404.0,transfer
t34,A108,D556,2024-09-15,4121.0,deposit
t35,A465,D399,2024-02-08,4320.0,transfer
t36,A892,D389,2024-08-04,3204.0,transfer
t37,A583,D587,2024-05-06,2393.0,deposit
t38,A451,D882,2024-02-16,3835.0,transfer
,,,,,
t40,A604,D545,2024-10-26,3860.0,withdrawal
,,,,,
t42,A413,D764,2024-04-19,2083.0,withdrawal
t43,A904,D819,2024-05-25,4217.0,transfer
t44,A893,D539,2024-09-08,1422.0,deposit
,,,,,
t46,A893,D402,2024-11-27,939.0,transfer
t47,A701,D270,2024-02-03,2457.0,withdrawal
t48,A442,D411,2024-06-13,184.0,withdrawal
t49,A643,D720,2024-01-16,1197.0,withdrawal
,,,,,
t51,A668,D548,2024-09-07,4546.0,transfer
t52,A152,D933,2024-01-02,3074.0,deposit
,,,,,
,,,,,
,,,,,
,,,,,
t57,A137,D932,2024-04-21,4558.0,transfer
t58,A706,D496,2024-07-05,1518.0,transfer
t59,A818,D119,2024-10-03,4773.0,withdrawal
t60,A606,D143,2024-06-05,4447.0,deposit
,,,,,
t62,A196,D249,2024-10-12,438.0,transfer
,,,,,
t64,A439,D837,2024-03-25,4793.0,deposit
,,,,,
t66,A707,D534,2024-08-17,2706.0,deposit
,,,,,
,,,,,
t69,A511,D495,2024-06-11,366.0,transfer
t70,A906,D282,2024-08-23,3013.0,withdrawal
t71,A866,D417,2024-08-24,1260.0,transfer
,,,,,
,,,,,
t74,A606,D436,2024-08-08,2626.0,transfer
,,,,,
,,,,,
t77,A169,D437,2024-02-14,1953.0,transfer
,,,,,
,,,,,
t80,A406,D482,2024-03-26,1335.0,transfer
t81,A554,D384,2024-12-11,4008.0,transfer
t82,A119,D446,2024-11-19,2418.0,withdrawal
,,,,,
t84,A261,D427,2024-05-06,2576.0,deposit
t85,A800,D439,2024-09-10,4023.0,transfer
t86,A128,D511,2024-05-15,1622.0,withdrawal
,,,,,
t88,A331,D758,2024-12-13,2599.0,deposit
t89,A409,D950,2024-05-02,416.0,withdrawal
,,,,,
,,,,,
t92,A312,D165,2024-10-17,1101.0,withdrawal
t93,A704,D660,2024-01-03,1894.0,withdrawal
t94,A937,D507,2024-05-25,4141.0,deposit
,,,,,
t96,A235,D365,2024-09-06,2683.0,deposit
t97,A405,D423,2024-10-14,2703.0,deposit
,,,,,
,,,,,
t100,A161,D904,2024-05-05,3648.0,deposit
t101,A148,D188,2024-06-24,4796.0,withdrawal
t102,A658,D790,2024-10-20,4936.0,withdrawal
t103,A867,D695,2024-07-11,1193.0,withdrawal
t104,A162,D993,2024-07-23,3235.0,deposit
t105,A109,D602,2024-07-14,608.0,withdrawal
,,,,,
t107,A441,D792,2024-08-27,1260.0,withdrawal
t108,A368,D801,2024-07-26,540.0,transfer
t109,A723,D289,2024-09-14,927.0,transfer
t110,A492,D170,2024-05-16,2688.0,deposit
t111,A249,D114,2024-01-08,4690.0,withdrawal
t112,A298,D118,2024-09-19,1269.0,transfer
,,,,,
t114,A503,D486,2024-08-08,4956.0,deposit
t115,A614,D828,2024-02-21,2291.0,withdrawal
,,,,,
,,,,,
,,,,,
t119,A286,D942,2024-01-20,703.0,deposit
